NR_1;KOEN;FOEDELSEAAR;INVAANARE;DRAGNING;SEXUELLT_UMG1;SEXUELLT_UMG2;SEXUELL_INRIKTN;TALADE1;TALADE2;INRIKTNING;AALDER_SEXUELL_INRIKTN1;AALDER_SEXUELL_INRIKTN2;OENSKAN;SKAM;ENSAM;TRAEFFA;LAERDE_KAENNA1;LAERDE_KAENNA2;TRAEFFA_HOMO_BI;KONTAKT1;KONTAKT2;KONTAKT3;KONTAKT4;KONTAKT5;ORGANISATION;FOERHAALANDE_SAMMA_KOEN;VILJA_HA;TIDIGARE_FOERHAALANDE;SAMBO_KVINNA;SAMBO_MAN;TEKNA_HYRESKONTRAKT;VAEGRATS_HYRESKONTRAKT1;VAEGRATS_HYRESKONTRAKT2;HETEROSEXUELLA_BEKANTA;TALAT_OM;BEKANTAS_REAKTION1;BEKANTAS_REAKTION2;BEKANTAS_REAKTION3;BEKANTAS_REAKTION4;BEKANTAS_REAKTION5;BEKANTAS_REAKTION6;BEKANTAS_REAKTION7;BEKANTAS_REAKTION8;BEKANTAS_REAKTION9;BEKANTAS_REAKTION10;BEKANTAS_REAKTION11;BEKANTAS_REAKTION12;BEKANTAS_REAKTION13;FOERVAENTAD_REAKTION1;FOERVAENTAD_REAKTION2;FOERVAENTAD_REAKTION3;FOERVAENTAD_REAKTION4;FOERVAENTAD_REAKTION5;FOERVAENTAD_REAKTION6;FOERVAENTAD_REAKTION7;FOERVAENTAD_REAKTION8;FOERVAENTAD_REAKTION9;FOERVAENTAD_REAKTION10;FOERVAENTAD_REAKTION11;FOERVAENTAD_REAKTION12;FOERVAENTAD_REAKTION13;FOERVAENTAD_REAKTION14;SYSSELSAETTNING1;YRKE;FUNKTION;UTBILDNING;ARBETSKAMRATER;ARBETSKAMRAT_BEMOETANDE1;ARBETSKAMRAT_BEMOETANDE2;ARBETSKAMRAT_BEMOETANDE3;ARBETSKAMRAT_BEMOETANDE4;ARBETSKAMRAT_BEMOETANDE5;ARB_KAMRAT_OVAENLIGT;DISKRIMINERING1;DISKRIMINERING2;DISKRIMINERING3;DISKRIMINERING4;DISKRIMINERING5;DISKRIMINERING6;DISKRIMINERING_AAR;DISKRIMINERING_ARBPLATS;KOENSSJUKDOM1;KOENSSJUKDOM2;PSYK1;PSYK2;PSYK3_1;PSYK3_2;PSYK3_3;PSYK3_4;PSYK3_5;PSYK3_6;HJAELP;NEDSTAEMD1;NEDSTAEMD2
615;Man;32;Fler än 150000 invånare;14;Ja;31;30;Ja;30;Homosexuell;Ja;30;Nej;Nej;Nej, det har jag aldrig gjort;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;32;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Nej;Nej;Nej;Ja;Ja;;Ja;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Ja, jag har tidigare sammanbott med en man (män);Nej;Inget svar;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);De flesta vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
616;Man;47;40000-150000 invånare;12;Ja;27;18;Ja;26;Homosexuell;Ja;25;Nej;Ja;Nej, det har jag aldrig gjort;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;27;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Nej;Nej;Nej;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;X;X;;X;X;;;X;;;;;X;;;;X;X;;;X;;;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;Nej;Nej;;;;;;;;;Nej;
617;Man;63;40000-150000 invånare;13;Ja;15;13;Ja;15;Homosexuell;Ja;13;Nej;Nej;Nej, det har jag aldrig gjort;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;15;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Nej;Nej;Ja;Ja;;Nej;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;X;X;;;;;;;;;;;;;;;X;;;;;;;X;;Studerande;;;;De flesta vet eller förstår det;Ja;X;;;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;
618;Man;57;40000-150000 invånare;13;Ja;13;15;Ja;20;Homosexuell;Ja;15;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag då och då;Jag träffar homo/bisexuella vänner mycket sällan;Ja;18;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Ja;Nej;Nej;Nej;Nej;Ja;Ja;Nej;Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Nej; ; ; ; ; ; ; ; ; ; ; ; ;Inget svar;;;;;;;;;;;;;X;;Förvärvsarbe;Barnomsorg (daghem);Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;X;;;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Ja
619;Man;51;40000-150000 invånare;12;Ja;22;12;Ja;18;Homosexuell;Ja;12;Nej;Nej;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;24;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Nej;Nej;Ja;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;X;;;X;;;;;;;;;;;;;X;;;;;;;;;Studerande;;;;Alla vet eller förstår det;Alla känner till min sexuella inriktning; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Ja, en psykiater;Ja;;X;;;;;Nej;Ja, jag har känt mig nedstämd (deprimerad);Ja
620;Man;31;Fler än 150000 invånare;15;Inget svar;99;20;Ja;25;Homosexuell;Ja;23;Ja, det har jag gjort men jag önskar det inte nu;Ja;Nej, inte nuförtiden;9;Ja;33;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Ja;Ja;Ja;Nej;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Ja;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;Förvärvsarbe;Övriga;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Ja, en psykolog;Ja;X;;;;;;Nej;Ja, jag har varit ängslig och orolig;Ja
621;Man;32;Fler än 150000 invånare;17;Ja;20;17;Ja;23;Bisexuell;Ja;27;Ja, det har jag gjort men jag önskar det inte nu;Ja;Nej, inte nuförtiden;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;27;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Ja;Ja;;Nej;Ja, jag sammanbor nu med en kvinna;Nej;Nej;Inget svar;;Ingen av mina heterosexuella bekanta vet eller förstår det;Nej; ; ; ; ; ; ; ; ; ; ; ; ;Inget svar;;;X;;;;;;;;;;;;Förvärvsarbe;Undervisning, forskning;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Jag vet inte om någon förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;Nej;Nej;;;;;;;;;Nej;
622;Man;49;Fler än 150000 invånare;13;Ja;21;13;Ja;16;Homosexuell;Ja;16;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, men bara vid enstaka tillfällen;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;21;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Nej;Nej;Ja;Ja;Nej;Nej;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;;X;X;;X;;;;;;;;;X;X;X;;;;;;;;;;;Inget svar;;;;De flesta vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Ja, en psykolog;Ja;;;;X;;;Nej;Nej;
623;Man;43;Jag bor på landsbygden;16;Ja;19;16;Jag har aldrig haft talat med någon om min sexuella läggning;0;Bisexuell;Ja;16;Nej;Nej;Ja, men bara vid enstaka tillfällen;Jag träffar homo/bisexuella vänner mycket sällan;Jag har så vitt jag vet inte lärt känna en homo- eller bisexuell person; ;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Nej;Nej;Nej;Nej;Nej;Nej;Nej;Nej;Nej;Nej;Inget svar;;Ingen av mina heterosexuella bekanta vet eller förstår det;Nej;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;;;X;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Ja
624;Man;49;Fler än 150000 invånare;12;Ja;24;16;Ja;24;Homosexuell;Ja;20;Ja, det har jag gjort men jag önskar det inte nu;Ja;Nej, inte nuförtiden;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;24;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Nej;Ja;Nej;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Ja;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;X;X;;;;;;X;;;;;;;;;;;X;;;X;X;;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Ja;;;X;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad) samt varit ängslig och orolig;Ja
625;Man;25;Fler än 150000 invånare;12;Ja;12;15;Ja;20;Bisexuell;Ja;30;Nej;Ja;Ja, men bara vid enstaka tillfällen;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;17;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Nej;Nej;Nej;Nej;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Nej;Nej;Inget svar;;Någon enstaka vet eller förstår det;Ja, för flera bakanta;;;X;;;;X;;;;;;;;;;;;;X;;;;;;;;Förvärvsarbe;Undervisning, forskning;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Jag vet inte om någon förstår det;Ja;;;X;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;;Ja, en psykolog;Ja;;;X;;;;Ja;Ja, jag har känt mig nedstämd (deprimerad);Ja
626;Man;40;Fler än 150000 invånare;17;Ja;25;20;Ja;25;Homosexuell;Ja;25;Ja, det har jag gjort men jag önskar det inte nu;Ja;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;25;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Ja;Ja;Nej;Nej;Nej;Nej;Ja;Nej;Nej;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;X;X;;;;;;;;;;;X;;;;;;;;;;;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Flera vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Ja, en psykiater;Ja;;X;;;;;Ja;Ja, jag har känt mig nedstämd (deprimerad);Nej
627;Man;24;10000-40000 invånare;14;Ja;16;22;Ja;22;Inget svar;Inget svar;;Inget svar;9;9;9;Inget svar;Inget svar;Inget svar;9;9;9;9;9;Nej;Nej;Ja;Ja;Nej;Ja, jag har tidigare sammanbott med en man (män);Ja;Nej;;Någon enstaka vet eller förstår det;Ja, för flera bakanta;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;X;;;;Ingen känner till min sexuella inriktning;Inget svar; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
628;Man;53;Inget svar;14;Ja;14;17;Ja;18;Homosexuell;Ja;21;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag då och då;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;18;Det är den största svårigheten man har som homo/bisexuell;Ja;Ja;Ja;Ja;Ja;Nej;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;X;;;X;X;;;;;;;;;;;;;;;;X;;;;;Förvärvsarbe;"Hantverk, ""gestaltande"" yrken (frisör), tv/cykelreparationer";Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Alla vet eller förstår det;Alla känner till min sexuella inriktning; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
629;Man;42;Fler än 150000 invånare;14;Jag har aldrig haft sexuellt umgänge med någon av samma kön;Jag har aldrig haft sexuellt umgänge med någon av samma kön;17;Jag har aldrig haft talat med någon om min sexuella läggning;0;Bisexuell;Ja;18;Nej;Nej;Ja, det gör jag då och då;Jag har inga homo/bisexuella vänner;Jag har så vitt jag vet inte lärt känna en homo- eller bisexuell person; ;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Nej;Nej;Nej;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;Jag vet inte om någon förstår det;Nej;X;;;;;;;;;;;;;;;;;;;;;;X;;X;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;;;;X;Ingen känner till min sexuella inriktning;Inget svar; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
630;Man;42;10000-40000 invånare;11;Ja;26;15;Ja;25;Homosexuell;Ja;18;Nej;Nej;Nej, inte nuförtiden;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;27;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Nej;Nej;Nej;Ja;Ja;;Ja;Nej;Nej;Nej;Inget svar;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;;;;;;;;X;;;;;X;;;;;;;;;;;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;De flesta vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
631;Man;45;Fler än 150000 invånare;14;Ja;22;12;Ja;22;Homosexuell;Ja;16;Ja, det har jag gjort men jag önskar det inte nu;Nej;Ja, men bara vid enstaka tillfällen;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;22;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Ja;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Ja;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;X;;X;;X;;;;;;;;;;;;;X;;;;;;;;Reaktion som är varken positiv eller negativ;Förvärvsarbe;Industriell tillverkning;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Jag vet inte om någon förstår det;Ja;;;X;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
632;Man;57;Fler än 150000 invånare;12;Ja;14;13;Ja;18;Homosexuell;Ja;13;Nej;Nej;Nej, inte nuförtiden;Jag har inga homo/bisexuella vänner;Ja;14;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Nej;Nej;Nej;Nej;Ja;;Nej;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;Alla vet eller förstår det;Ja, för flera bakanta;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;De flesta vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
633;Man;46;Fler än 150000 invånare;12;Ja;31;16;Ja;31;Homosexuell;Ja;31;Nej;Ja;Ja, det gör jag då och då;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;31;Det är den största svårigheten man har som homo/bisexuell;Nej;Ja;Nej;Ja;Nej;Ja;Ja;;Nej;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Ja, jag sammanbor nu med en man;Nej;Nej;;Någon enstaka vet eller förstår det;Ja, för flera bakanta;;;X;;X;X;;X;;;;;;;;X;;X;X;;;;;X;X;;;Förvärvsarbe;Undervisning, forskning;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Ja
634;Man;59;10000-40000 invånare;9;Ja;13;13;Ja;17;Homosexuell;Ja;15;Ja, jag önskar nu att jag vore (helt) heterosexuell;Ja;Ja, det gör jag under långa perioder;Jag har inga homo/bisexuella vänner;Jag har så vitt jag vet inte lärt känna en homo- eller bisexuell person; ;Det är den största svårigheten man har som homo/bisexuell;Ja;Ja;Ja;Nej;Nej;Nej;Nej;Nej;Nej;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Nej;Nej;Inget svar;;Någon enstaka vet eller förstår det;Ja, för flera bakanta;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;Förvärvsarbe;Övriga;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;;;X;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;Nej;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Ja
635;Man;41;40000-150000 invånare;7;Ja;14;15;Ja;19;Homosexuell;Ja;15;Nej;Nej;Ja, det gör jag då och då;Jag träffar homo/bisexuella vänner mycket sällan;Ja;19;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Nej;Ja;Nej;Nej;Ja;Ja;Nej;Nej;Nej;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;Förvärvsarbe;Transport- och lagerarbete;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Flera vet eller förstår det;Ja;;;X;;Ja, någon/några har varit ovänliga eller fientliga;Jag har diskriminerats;X;;;;;69;Har svarat i fritextfältet;Nej;Nej;Ja, en psykolog;Ja;;;X;;;;Nej;Ja, jag har känt mig nedstämd (deprimerad) samt varit ängslig och orolig;Ja
636;Man;31;10000-40000 invånare;7;Ja;7;14;Ja;20;Homosexuell;Ja;16;Nej;Nej;Nej, inte nuförtiden;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;7;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Nej;Ja;Ja;Nej;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Ja;52;Någon enstaka vet eller förstår det;Ja, för flera bakanta;;X;;;;;;;;;;;;;;;;;;;;;;;;X;;Förvärvsarbe;Restaurang och hotell;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
637;Man;56;Fler än 150000 invånare;12;Ja;13;16;Ja;19;Homosexuell;Ja;20;Nej;Ja;Ja, men bara vid enstaka tillfällen;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;19;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Nej;Ja;Nej;Ja;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;Alla vet eller förstår det;Ja, för flera bakanta;;;X;;;;;;;;;;;;;;;;;;;;;;;X;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Alla vet eller förstår det;Alla känner till min sexuella inriktning; ; ; ; ;Ja, någon/några har varit ovänliga eller fientliga;Jag har diskriminerats;;;;;X;76;Har svarat i fritextfältet;Ja;Nej;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
638;Man;52;Fler än 150000 invånare;14;Ja;16;15;Ja;18;Homosexuell;Ja;19;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, men bara vid enstaka tillfällen;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;21;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Ja;Ja;;Nej;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Ja, jag sammanbor nu med en man;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;;X;;;;;;;;;;;;;;;;;;;;X;;;;;Förvärvsarbe;Undervisning, forskning;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Ja;X;;;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Nej;
639;Man;54;Fler än 150000 invånare;12;Ja;17;17;Ja;19;Homosexuell;Ja;19;Ja, det har jag gjort men jag önskar det inte nu;Nej;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;17;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Nej;Nej;Nej;Ja;Ja;;Ja;Nej;Nej;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;X;;;;;;;;;;;;;;;;;;;;;;;X;;Studerande;;;;De flesta vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Nej
640;Kvinna;60;10000-40000 invånare;16;Ja;19;20;Ja;17;Homosexuell;Ja;20;Nej;Nej;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;20;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Nej;Nej;Nej;Ja;Nej;Ja;Nej;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Nej;Ja;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;X;X;X;;X;X;;;X;;;;X;;;;;;;;;;;;;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Ja, en psykolog;Ja;X;;;;;;Nej;Ja, jag har varit ängslig och orolig;Ja
641;Man;53;Fler än 150000 invånare;10;Ja;21;14;Ja;21;Homosexuell;Ja;15;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det har jag alltid gjort;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;23;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Nej;Ja;Ja;Ja;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Ja;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;;;;X;;;;;;;;;;;;;;;;X;;;;;;;Förvärvsarbe;Tjänstemän, ospecificerad;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Ja;X;;;;Ja, någon/några har undvikit kontakt med mig;Nej; ; ; ; ; ;;;Ja;Ja;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad) samt varit ängslig och orolig;Ja
642;Man;42;Fler än 150000 invånare;20;Ja;38;20;Ja;20;Inget svar;Inget svar;;Inget svar;9;9;9;Inget svar;Inget svar;Inget svar;9;9;9;9;9;Nej;Nej;Nej;Nej;Nej;Nej;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;;X;X;;X;X;;X;;;;;;;X;X;;X;X;;X;;;;;;Förvärvsarbe;Annan service (städning);Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;;;X;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
643;Man;52;Fler än 150000 invånare;15;Ja;20;15;Ja;18;Homosexuell;Ja;17;Nej;Nej;Ja, det gör jag då och då;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;25;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Nej;Nej;Ja;Ja;;Ja;Nej;Ja, jag har tidigare sammanbott med en man (män);Nej;Nej;;Alla vet eller förstår det;Ja, för flera bakanta;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;De flesta vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Ja, en psykiater och en psykolog;Ja;;X;;;;;Av någon eller några men inte av andra;Ja, jag har känt mig nedstämd (deprimerad);Ja
